user_id<|>enr_cate_id
바지 팬츠 모음전/슬랙스 면바지 빅사이즈여성의류<|>14
홍게 일반형 10~16마리[5kg] 속초 당일조업 홍게 3kg(일반/고급/프리미엄/박달)<|>15
[꿀딜]쁘띠엘린 빨대없는 와우컵<|>10
행복단말기 U-H70 무선 하이패스 단말기 (무료개통)<|>03
(현대Hmall)[PHILIPS 필립스 핸드형 퀵스팀다리미 GC310/05] 한 손으로 손쉬운 사용 연속스팀 14g 실크 다림질 가능<|>05
봄나들이 강력추천/항공점퍼/사파리/바람막이/가디건<|>14
봄나들이 강력추천/항공점퍼/사파리/바람막이/가디건<|>14
하루만특가/여성/보정속옷/다이어트/올인원/니퍼/복대<|>14
다우니 퍼퓸 섬유유연제 1L 2개 + 아로마쥬얼 30g 2개<|>16
2080오리지널 치약 160g 9개 특가/페리오/청은차죽염<|>16
페리오 이지클리닉 칫솔 20개  /치약<|>16
당일발송~심플 데일리 에코백/캔버스백/숄더백/천가방<|>14
COMS 무로배송 OTG젠더/OTG케이블/마이크로5핀/OTGUSB젠더<|>22
럭스파파 남성 남자 소가죽 허리띠 정장 벨트1위판매<|>14
제제 슬림핏 정장/수트/양복/졸업/면접/남성/남자<|>14
살랑살랑 예쁜속커튼 주문제작/쉬폰/자수/무지<|>12
1+1한정판매 발칸 액정 강화유리필름<|>22
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
유어걸 봄신상업뎃~/롱티셔츠 롱원피스/박스티 루즈핏<|>14
투투 연휴특가 감사할인 인생슬랙스 ~3XL 부츠컷<|>14
투투 연휴특가 감사할인 인생슬랙스 ~3XL 부츠컷<|>14
투투 연휴특가 감사할인 인생슬랙스 ~3XL 부츠컷<|>14
원피스 모음전/ 롱원피스 플라워 빅사이즈여성의류<|>14
원피스 모음전/ 롱원피스 플라워 빅사이즈여성의류<|>14
스피드테크놀로지 SD4800[고정, 스탠드형] 48인치 LED TV 4K UHDTV TIENA-SD4800 l DP포트장착<|>02
2016 봄여름 신상등산바지 등산복남성 아웃도어작업복<|>09
펌프스 가보시힐 스트랩하이힐 여성구두<|>14
1+1무배 OTG USB메모리 밀크/파스텔 32GB+16GB<|>07
사은품+신모유실감 젖꼭지 SS/S/M/L(2입)<|>10
망사캉캉스커트/기본속바지쉬폰레이스속치마/레이어드<|>14
겟잇뷰티 쉐딩부문 1위  크리스탈 블러셔<|>08
클릭앤미 여름신상 원피스/멜빵/롱/루즈핏/쉬폰/러플<|>14
(체리빌레)반해버린 플라워/쉬폰 원피스 베스트50<|>14
신일 NEW 전기렌지 하이라이트 1구 전기레인지 인덕션<|>06
캡나시/런닝브라/브라런닝/브라탑/스포츠브라/끈나시<|>14
캡나시/런닝브라/브라런닝/브라탑/스포츠브라/끈나시<|>14
캡나시/런닝브라/브라런닝/브라탑/스포츠브라/끈나시<|>14
나이키 브라질리아 6 XS  BA4832-001  팀백/더플백<|>09
국내산 순면100% 침대패드/면패드/세미마이크로 패드<|>12
국내산 순면100% 침대패드/면패드/세미마이크로 패드<|>12
모도리 3단접이식 빨아쓰는 매트<|>12
2016년S/S 플랫슈즈/무료배송/패드증정/단화/둥근단화<|>14
해썹 인증 시아스 새우볶음밥 300g 모음전<|>15
(현대Hmall)[아메리칸투어리스터] STREAM-ALFA  5종세트(06R) <|>14
VDL 엑스퍼트 컬러 포 아이 아이즈 프라이머 겟잇뷰티<|>08
슈퍼특가~롱티셔츠/박스/원피스/빅사이즈~88까지<|>14
슈퍼특가~롱티셔츠/박스/원피스/빅사이즈~88까지<|>14
천연수500mlX20펫/2LX12펫/생수/물/삼다수<|>15
영실업 콩순이/겨울왕국/쥬쥬外<|>10
남녀공용 반팔 티셔츠/단가라티/반티/커플티/라운드티<|>14
봄여름용 노턱스판 슬랙스 정장바지 물세탁 주름방지<|>14
봄여름용 노턱스판 슬랙스 정장바지 물세탁 주름방지<|>14
벤디스 더욱 날씬~하게 커버업비키니<|>09
임산부손목보호대/발목/무릎/팔꿈치/산모 임부용품<|>10
이브셀 밍크 헤어 스타일링 스프레이265ml/액상/강력<|>08
지앤마 써니비 칫솔 1단계[10개] 지앤마 써니비 단계별 유아칫솔 10개 어린이 아기<|>16
안전문/이지핏/베이비앤독/유아/애견/울타리/펜스<|>10
파인룩스 LED 2400 스탠드 LED 2400 (화이트/블랙/스카이블루/핑크)<|>12
유유존-미니원피스/클럽의상/섹시홀복/롱/나시/여름탑<|>14
(고급시트지 베스트300종) 정품 인테리어필름/ 기포NO<|>12
(고급시트지 베스트300종) 정품 인테리어필름/ 기포NO<|>12
소피아/페어리/진동기/딜도/부부용품 성인용/여성자위<|>16
S/S신상 잔피엘 쿨스판 골프바지/골프웨어/신사바지<|>09
가족티/커플티/패밀리룩 단체티 돌사진<|>14
가족티/커플티/패밀리룩 단체티 돌사진<|>14
가족티/커플티/패밀리룩 단체티 돌사진<|>14
아이오페 맨 에어쿠션/ 리필<|>08
G마켓 특별가/여름신상티셔츠3900~/기본/박스/GB1<|>14
남양 임페리얼 XO Royal Class 1단계 400g 1캔<|>10
점보롤메카 고급점보 M500[16롤] 공장출고 1박스16개 /2겹 꽃무늬엠보싱 점보롤화장지<|>16
SH-505 화장품가방 파우치 메이크업박스 여행가방<|>14
더루비-여름신상/레깅스/치마레깅스/청바지/스키니<|>10
더루비-여름신상/레깅스/치마레깅스/청바지/스키니<|>10
여름신상6900원~ 봄원피스/멜빵/레이스/섹시/청순<|>14
롯데 가나밀크 70G<|>15
알로앤루/알퐁소/포래즈 여름세일 아동복 유아옷<|>10
알로앤루/알퐁소/포래즈 여름세일 아동복 유아옷<|>10
종근당건강 쑥쑥 하이튼튼 키즈 4g[60개] 종근당건강 하이튼튼키즈 4g X 60T 칼슘 비타민<|>15
아동복/상하복/티셔츠/레깅스/팬츠/타이즈/원피스<|>10
봄/여름신상9900원~프릴/쉬폰블라우스/남방/도트/나염<|>14
규수방가구 한정500개 5단서랍장/와이드서랍장/수납장<|>12
하기스매직기저귀1단계/2~5단계/신생아/중 대형<|>10
로로텐 롱/루즈핏/원피스 티셔츠 빅사이즈 여성의류<|>14
플레인 기어 페이스 스틱 팻킬러 뱃살 허벅지 종아리<|>05
삼성전자 삼성전자 microSDXC 64GB 마이크로SD 메모리카드<|>02
청치마/청스커트/데님스커트/청롱스커트/플레어스커트<|>14
샤오미 블루투스 조이스틱 게임패드 Android 태블릿<|>04
1+1 2도어 폴라캐릭터 리빙박스 56L 66L 92L/수납함<|>16
여름 남자 정장바지 슬랙스 남자바지 면바지 린넨바지<|>14
여름 남자 정장바지 슬랙스 남자바지 면바지 린넨바지<|>14
다시돌아온 7인치 S탭(8G)쿼드 태블릿pc pmp<|>03
여리한 레이스스커트 미니 H라인 플레어 롱 스커트<|>14
당일발송 초특가 2016 신상 패션우산/3단우산~장우산<|>14
당일발송 초특가 2016 신상 패션우산/3단우산~장우산<|>14
이월상품반값할인겨울왕국 긴팔 드레스 엘사원피스<|>10
짝꿍닷컴 특가+여성하이힐 여자구두/미들힐펌프스/킬힐가보시힐<|>14
(정품) 시그마 17-50mm F2.8 EX DC OS HSM (캐논용)<|>02
땡처리★쇼킹! 방수침구&양면줄패드<|>12
아르네까사 단면매트리스 침대<|>12
하포스 마블텍스 매트리스 45T[멀티싱글(MS)] 마블텍스/CL볼라텍스 매트리스 65/45/하포스침대<|>12
초특가/롱티셔츠/루즈핏박스티/미키마우스/여성의류<|>14
G마켓 특별가/봄/여름신상9900원~프릴/쉬폰블라우스<|>14
G마켓 특별가/봄/여름신상9900원~프릴/쉬폰블라우스<|>14
G마켓 특별가/봄/여름신상9900원~프릴/쉬폰블라우스<|>14
G마켓특별가17900원~린넨자켓/사파리/항공점퍼/마자켓<|>14
G마켓 특별가/봄/여름신상9900원~프릴/쉬폰블라우스<|>14
G마켓 특별가/봄/여름신상9900원~프릴/쉬폰블라우스<|>14
칸타타 롯데 트레비 500ml x 20펫 초정탄산수 씨그램 음료수<|>15
봄신상 맨투맨 티셔츠/무지/나그랑/남자/남성<|>14
참미김치 맛품질 최고급재료 내 아이가 먹는 착한김치<|>15
[특가] 삼성전자 microSDXC EVO 64GB / Class10(MP64)<|>02
G마켓 특별가/여름신상티셔츠3900~/기본/박스/GB1<|>14
G마켓 특별가/여름신상티셔츠3900~/기본/박스/GB1<|>14
G마켓특별가/여름신상 슬랙스와이드/밴딩/멜빵Gband2<|>14
봄여름 남성 트레이닝바지 팬츠 츄리닝 추리닝 운동복<|>14
붙이는 아크릴거울 안전거울 전신거울<|>12
엠파워 (엠파워)배터리 수명연장/연비향상/연료절감/출력향상<|>21
[슈퍼마트]우르오스 스킨 로션 200ml<|>08
여름신상트렌디한 티셔츠모음:: 무지/오버핏/브이넥<|>14
여성스러운 실루엣블라우스모음 플레어/쉬폰/레이스<|>14
봄여름 칠부 신상 긴팔 자카드 실내복 유아동내의<|>10
2in1 핸디 청소기 6만대돌파 헤파필터 진공청소기<|>05
패션지오 홈쇼핑/스판3종-9800원/썸머자켓/티셔츠/썸머50종<|>14
패션지오 홈쇼핑/스판3종-9800원/썸머자켓/티셔츠/썸머50종<|>14
패션지오 홈쇼핑/스판3종-9800원/썸머자켓/티셔츠/썸머50종<|>14
에코피칼 비비 선블록[60ml] 코리아나 세니떼 옴므[남성] 에코피칼 비비선블록SPF50+[에센스팩3매]증정<|>08
1+1한정판매 발칸 액정 강화유리필름<|>22
제이나나 1+1/S~2XL/여름까지 입기 좋은 팬츠/티셔츠<|>14
제이나나 1+1/S~2XL/여름까지 입기 좋은 팬츠/티셔츠<|>14
[딜]스피드 다이어트 쉐이커<|>16
청반바지 반바지 3부/5부 핫팬츠 치마바지 빅사이즈<|>14
청반바지 반바지 3부/5부 핫팬츠 치마바지 빅사이즈<|>14
청반바지 반바지 3부/5부 핫팬츠 치마바지 빅사이즈<|>14
입맛대로 골라먹는 풀그린만두 6종!<|>15
오늘만2800~핸드폰/갤럭시S7/S6/A/노트5/4/3/G4/g5/폰<|>22
여름신상 특가 원피스/~L /루즈핏/롱/패턴/점프수트<|>14
송월타올 170g 40수 호텔용 무지(40 80cm) /수건/송월타월/기념수건/답례품/행사<|>16
송월타올 170g 40수 호텔용 무지(40 80cm) /수건/송월타월/기념수건/답례품/행사<|>16
송월타올 170g 40수 호텔용 무지(40 80cm) /수건/송월타월/기념수건/답례품/행사<|>16
봄신상 남여공용 무지 나그랑 맨투맨 반팔 티셔츠<|>14
봄신상 남여공용 무지 나그랑 맨투맨 반팔 티셔츠<|>14
14k이니셜목걸이/한문 미아방지/커플 생일선물<|>14
[기타] 손오공_헬로카봇-벨로스터스카이S.W.A.T<|>10
정품아닐시200%보상 아이폰이어폰 이어팟 이어버드<|>03
아쿠아티카 남/녀 수영복/용품<|>09
슈퍼특가~롱박스티/빅사이즈/무지/기본/티셔츠/원피스<|>14
슈퍼특가~롱박스티/빅사이즈/무지/기본/티셔츠/원피스<|>14
웰빙 헬스 고운발 풋크림100g x 3개 발크림 풋케어크림 풋케어로션 보습크림 고운발크림/최신상품보유<|>08
[꿀딜]봄맞이 피그비 아기지퍼백<|>10
브랜드 낚시용품 100종<|>09
누적판매량 10만개 미러케이스♥<|>22
간편한 거치대 스마트링 1+1<|>22
[꿀딜]피죤3100mlx4 무료배송<|>16
국내산 문경 건오미자 구례 건산수유 청양 건구기자<|>15
국내산 문경 건오미자 구례 건산수유 청양 건구기자<|>15
내츄럴 콜라겐 마스크팩100매/펄프마스크60매<|>08
미쟝센 샤이닝 새치염색약 2개 + 추가증정<|>08
뚫어뻥 뚜러뻥 변기솔 화장실 막힘 생활 욕실용품 펑<|>16
[꿀딜]1+1 산과들에 한줌견과 30봉<|>15
